epoch,categorical_accuracy,loss
0,0.3588709533214569,1.0887486934661865
1,0.42741936445236206,1.0796018838882446
2,0.4677419364452362,1.0652066469192505
3,0.4879032373428345,1.0384886264801025
4,0.5282257795333862,1.0056310892105103
5,0.5443548560142517,0.9566892385482788
6,0.5443548560142517,0.9240639805793762
7,0.6370967626571655,0.8451152443885803
8,0.6975806355476379,0.8301231861114502
9,0.6854838728904724,0.8098713755607605
10,0.7177419066429138,0.7687653303146362
11,0.7419354915618896,0.721865713596344
12,0.8024193644523621,0.6694638729095459
13,0.7943548560142517,0.6077650189399719
14,0.8024193644523621,0.577294647693634
15,0.8306451439857483,0.5474376082420349
16,0.9112903475761414,0.4587271511554718
17,0.8185483813285828,0.5448834896087646
18,0.9193548560142517,0.4295571446418762
19,0.8951612710952759,0.47400417923927307
20,0.8911290168762207,0.4455548822879791
21,0.9375,0.23731663823127747
